Model,Sampler,Precision,Recall,F1,ROC-AUC,PR-AUC,Fit Time (s),Pred Time (s)
Bagging,None (Original),0.9609375,0.6684782608695652,0.7884615384615384,0.9797530102896461,0.782245482500503,82.77,2.36
GradientBoosting,None (Original),0.7935483870967742,0.6684782608695652,0.7256637168141593,0.9946522052600232,0.7263748170232815,60.17,5.56
Decision Tree,None (Original),0.20317002881844382,0.7663043478260869,0.3211845102505695,0.8822699768424187,0.6646966884096966,9.51,0.16
GradientBoosting,SMOTENC,0.3596938775510204,0.7663043478260869,0.4895833333333333,0.9713559625873798,0.6103286217028647,186.43,5.14
AdaBoost,SMOTENC,0.5722222222222222,0.5597826086956522,0.5659340659340659,0.9719228531237265,0.565726151489441,315.37,2.54
Random Forest,None (Original),0.3508771929824561,0.6521739130434783,0.45627376425855515,0.9777616199335444,0.5210659791743597,84.72,0.91
MLP,None (Original),0.7471264367816092,0.3532608695652174,0.4797047970479705,0.977911350741356,0.514022431398645,52.94,0.26
AdaBoost,None (Original),0.7802197802197802,0.3858695652173913,0.5163636363636364,0.925990760477728,0.48559628773657953,253.71,2.59
GradientBoosting,UnderSampling,0.07058823529411765,0.8804347826086957,0.1306978620411456,0.9906177999905958,0.4843841404535282,1.95,5.59
Random Forest,SMOTENC,0.2997275204359673,0.5978260869565217,0.3992740471869328,0.9645595455471615,0.4266093332581361,205.86,0.98
Random Forest,UnderSampling,0.04265145340939962,0.8532608695652174,0.08124191461836999,0.9797030265508918,0.3851732013129561,1.35,0.9
KNN,None (Original),0.7323943661971831,0.2826086956521739,0.40784313725490196,0.7664381357559324,0.35634562780832924,0.11,57.07
AdaBoost,UnderSampling,0.06510311362717347,0.875,0.12118931125329319,0.9908223390332591,0.3511891552801701,2.46,3.59
MLP,SMOTENC,0.4012738853503185,0.3423913043478261,0.36950146627565983,0.9544930997460893,0.3425958025603995,184.0,0.26
Bagging,UnderSampling,0.037377049180327866,0.9293478260869565,0.07186383694053372,0.985814708002884,0.3396117200353538,1.41,2.28
SVM-RBF,None (Original),0.020202020202020204,0.7608695652173914,0.03935901040202418,0.9338697258706624,0.3031959322313951,9.11,32.19
Bagging,SMOTENC,0.06190278354798504,0.8097826086956522,0.11501350829795445,0.9681404726732704,0.26089700910448965,211.42,2.3
Decision Tree,SMOTENC,0.142433234421365,0.5217391304347826,0.22377622377622378,0.9343239142189901,0.25154902759408304,165.6,0.14
KNN,UnderSampling,0.01000916331853105,0.7717391304347826,0.019762020736204856,0.9114843333672924,0.11526608335534977,0.14,1.49
Logistic Regression,UnderSampling,0.01449127461985917,0.7717391304347826,0.028448362215766805,0.9328044183567912,0.10269712679573526,1.76,0.13
Logistic Regression,SMOTENC,0.032302595251242405,0.6358695652173914,0.061481870730425645,0.9252340247954609,0.09693000843498985,337.97,0.24
MLP,UnderSampling,0.014598540145985401,0.7065217391304348,0.02860600726152492,0.9142161981599322,0.08741825835285483,1.46,0.26
SVM-Linear,UnderSampling,0.0,0.0,0.0,0.9156467469671797,0.0814085494399802,0.08,0.13
Logistic Regression,None (Original),0.013903743315508022,0.7771739130434783,0.027318750597000667,0.9374247182690197,0.07943589980743625,440.99,0.15
SVM-Linear,None (Original),0.0,0.0,0.0,0.8691350780539795,0.07400658549305343,0.64,0.23
SVM-Linear,SMOTENC,0.16666666666666666,0.005434782608695652,0.010526315789473684,0.8428793376383186,0.06365898508769216,49.21,0.22
Decision Tree,UnderSampling,0.022284512964260688,0.8641304347826086,0.04344855854624949,0.9701763365568477,0.051977816899543866,1.21,0.27
KNN,SMOTENC,0.02289639381797367,0.6521739130434783,0.04423963133640553,0.8268462146562804,0.04210818872814091,48.72,111.59
